"Age","Used.Last.Month.Cosmetics","Used.Last.Month.Perfumes","Used.Last.Month.Skincare","Purchase.Frequency.Cosmetics","Purchase.Frequency.Perfumes","Purchase.Frequency.Skincare","POS.Department.Stores","POS.Boutiques","POS.Duty.Free","POS.Online","Purchase.Amount.Cosmetics","Purchase.Amount.Perfumes","Purchase.Amount.Skincare","Purchase.Touchpoint.Friends.and.Family.Cosmetics","Purchase.Touchpoint.Friends.and.Family.Perfumes","Purchase.Touchpoint.Friends.and.Family.Skincare","Purchase.Touchpoint.Magazines.Cosmetics","Purchase.Touchpoint.Magazines.Perfumes","Purchase.Touchpoint.Magazines.Skincare","Purchase.Touchpoint.Web.Sites.and.Blogs.Cosmetics","Purchase.Touchpoint.Web.Sites.and.Blogs.Perfumes","Purchase.Touchpoint.Web.Sites.and.Blogs.Skincare","Purchase.Touchpoint.POS.Cosmetics","Purchase.Touchpoint.POS.Perfumes","Purchase.Touchpoint.POS.Skincare","Purchase.Touchpoint.Social.Media.Cosmetics","Purchase.Touchpoint.Social.Media.Perfumes","Purchase.Touchpoint.Social.Media.Skincare","Purchase.Touchpoint.TV.Cosmetics","Purchase.Touchpoint.TV.Perfumes","Purchase.Touchpoint.TV.Skincare","Purchase.Touchpoint.OOH.Cosmetics","Purchase.Touchpoint.OOH.Perfumes","Purchase.Touchpoint.OOH.Skincare","Purchase.Touchpoint.Online.Display.Cosmetics","Purchase.Touchpoint.Online.Display.Perfumes","Purchase.Touchpoint.Online.Display.Skincare","Activity.Frequency.Restaurants","Activity.Frequency.Movie.Theater","Activity.Frequency.Theater.and.Shows","Activity.Frequency.Bars.and.Night.Clubs","Activity.Frequency.Excercise","Actitude.Luxury.Category","Actitude.Luxury.Purchases","Actitude.Tendencies.Cosmetics","Actitude.Tendencies.Perfumes","Actitude.Tendencies.Skincare","Brand.Identification.Cosmetics","Brand.Identification.Perfumes","Brand.Identification.Skincare","Purchase.Chanel.Cosmetics","Purchase.Chanel.Perfumes","Purchase.Chanel.Skincare","Marital.Status","Motherhood.Status","Educational.Level","Occupation","Socioeconomic.Status"
42,"Sí","Sí","Sí",3,6,1,1,0,0,0,2000,2000,500,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,7,15,90,90,7,"Exclusividad","Busco la mejor calidad","Adopto algunas de las tendencias después de conocerlas","Nunca estoy familiarizada con las nuevas tendencias","Me gusta adelantarme a las tendencias y ser pionera","Lancomê","212 VIP","Clinique","No","No","No","Casada","Sí","Licenciatura / Ensino Superior","PROFESIONISTA",2
40,"Sí","Sí","Sí",1,3,1,1,1,1,1,500,2000,2000,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,7,7,30,15,7,"Exclusividad","Busco la mejor calidad","Adopto algunas de las tendencias después de conocerlas","Me gusta adelantarme a las tendencias y ser pionera","Me gusta adoptar rápidamente las nuevas tendencias","Clinique","J'adore","Lancomê","No","Sí","No","Casada","Sí","Licenciatura / Ensino Superior","PROFESIONISTA",2
24,"Sí","Sí","Sí",1,1,1,1,0,0,0,2000,2000,3500,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,7,15,90,7,30,"Exclusividad","He trabajado duro para tenerlos","Me gusta adelantarme a las tendencias y ser pionera","Me gusta adoptar rápidamente las nuevas tendencias","Me gusta adoptar rápidamente las nuevas tendencias","MAC","Coco Mademoiselle","Clinique","Sí","Sí","Sí","Casada","Sí","Licenciatura / Ensino Superior","PROFESIONISTA",1
33,"Sí","Sí","Sí",1,6,3,0,0,0,1,2000,2000,500,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,7,15,90,30,7,"Calidad excepcional","Busco la mejor calidad","Adopto algunas de las tendencias después de conocerlas","Adopto algunas de las tendencias después de conocerlas","Adopto algunas de las tendencias después de conocerlas","MAC","POISON","Lancomê","No","No","No","Casada","Sí","Licenciatura / Ensino Superior","PROFESIONISTA",2
42,"Sí","Sí","Sí",3,6,1,1,0,0,0,500,2000,500,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7,15,90,0,15,"Calidad excepcional","Busco la mejor calidad","Generalmente estoy poco familiarizada con las nuevas tendencias","Adopto algunas de las tendencias después de conocerlas","Me gusta adoptar rápidamente las nuevas tendencias","MAC","Hypnose","Eucerin","Sí","No","No","Casada","Sí","Licenciatura / Ensino Superior","PROFESIONISTA",2
42,"No","No","Sí",1,3,1,1,0,0,0,500,500,500,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,7,7,90,90,7,"Prestigio","Me gustan los placeres de la vida","Nunca estoy familiarizada con las nuevas tendencias","Me gusta adelantarme a las tendencias y ser pionera","Generalmente estoy poco familiarizada con las nuevas tendencias","Otra. ¿Cuál?","212 VIP","Mary kay","No","No","No","Soltera","Sí","Licenciatura / Ensino Superior","VENTAS",1
25,"Sí","Sí","Sí",1,3,1,1,0,0,0,500,500,500,1,1,1,0,1,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,1,1,0,15,15,90,30,7,"Calidad excepcional","He trabajado duro para tenerlos","Generalmente estoy poco familiarizada con las nuevas tendencias","Nunca estoy familiarizada con las nuevas tendencias","Generalmente estoy poco familiarizada con las nuevas tendencias","MAC","Dnky","Clinique","No","Sí","No","Soltera","Sí","Licenciatura / Ensino Superior","PROFESIONISTA",1
24,"Sí","Sí","Sí",6,12,3,1,0,0,0,500,500,500,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,30,15,0,90,7,"Calidad excepcional","He trabajado duro para tenerlos","Me gusta adoptar rápidamente las nuevas tendencias","Me gusta adelantarme a las tendencias y ser pionera","Adopto algunas de las tendencias después de conocerlas","Clinique","CH","Lancomê","No","Sí","No","Casada","Sí","Licenciatura / Ensino Superior","AMA DE CASA",1
52,"Sí","Sí","Sí",12,12,3,1,0,0,0,500,2000,500,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,30,7,90,30,7,"Un precio alto","Busco la mejor calidad","Adopto algunas de las tendencias después de conocerlas","Adopto algunas de las tendencias después de conocerlas","Adopto algunas de las tendencias después de conocerlas","MAC","Acqua di Gioia","Ives Rocher","Sí","Sí","Sí","Divorciada/Separada","Sí","Licenciatura / Ensino Superior","PROFESIONISTA",1
30,"Sí","Sí","Sí",3,12,3,1,0,0,0,500,500,500,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,90,30,0,0,7,"Un precio alto","Me gusta sentirme bien","Adopto algunas de las tendencias después de conocerlas","Generalmente estoy poco familiarizada con las nuevas tendencias","Adopto algunas de las tendencias después de conocerlas","MAC","CH","Vichy","No","No","No","Casada","No","Licenciatura / Ensino Superior","PROFESIONISTA",2
